Customer ID,Age,Gender,Location,Subscription Status,Item Purchased,Category,Purchase Amount (USD),Season,Size,Color,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Review Rating,Shipping Type,Payment Method
40,38,Female,Montana,No,Skirt,Clothing,16.68,Spring,L,Pink,Yes,No,0,Monthly,4.01,Express,Venmo
41,18,Male,Arizona,No,Scarf,Accessories,63.16,Summer,XL,Brown,No,No,0,Bi-Weekly,3.77,Standard,Cash
42,40,Male,Texas,No,Sneakers,Footwear,40.15,Winter,S,Brown,No,Yes,2,Weekly,3.79,Express,Debit Card
43,34,Male,Florida,No,Blouse,Clothing,80.71,Summer,L,Gray,No,No,0,Bi-Weekly,4.08,Express,PayPal
44,62,Male,Arizona,No,Shirt,Clothing,47.26,Fall,L,Blue,Yes,No,0,Bi-Weekly,3.12,Express,Cash
45,66,Male,Arizona,No,Coat,Outerwear,70.17,Spring,XL,Green,Yes,No,1,Monthly,3.85,Standard,PayPal
46,18,Male,Florida,No,Belt,Accessories,72.37,Fall,S,Yellow,No,Yes,1,Bi-Weekly,2.92,Express,Venmo
47,18,Female,Montana,No,Boots,Footwear,107.4,Winter,XL,White,Yes,No,0,Weekly,3.45,Standard,Cash
48,39,Male,Texas,Yes,Scarf,Accessories,66.35,Spring,L,Purple,No,No,0,Bi-Weekly,3.54,Express,Cash
49,40,Male,California,No,Blouse,Clothing,22.38,Winter,XL,Blue,No,No,2,Monthly,4.25,Express,Debit Card
50,64,Female,Illinois,No,Belt,Accessories,78.92,Spring,S,Brown,Yes,Yes,0,Bi-Weekly,3.79,Express,Cash
51,55,Male,Arizona,Yes,Shoes,Footwear,44.01,Fall,XL,White,Yes,No,2,Quarterly,2.65,Express,Cash
52,28,Male,Washington,No,Sweater,Clothing,36.04,Winter,M,Gray,No,No,1,Quarterly,3.41,Express,PayPal
53,22,Male,Washington,Yes,Sweater,Clothing,43.79,Fall,S,Gray,No,No,0,Weekly,3.99,Standard,Venmo
54,40,Male,New York,No,Scarf,Accessories,60.71,Spring,S,Purple,No,Yes,0,Weekly,4.3,Standard,PayPal
55,55,Male,Texas,Yes,T-shirt,Clothing,85.0,Spring,L,Red,No,No,2,Weekly,3.34,Express,Cash
56,67,Male,Arizona,No,Sweater,Clothing,54.22,Spring,XL,Brown,No,No,0,Annually,3.2,Express,Venmo
57,36,Male,Montana,No,Dress,Clothing,54.5,Summer,L,Red,Yes,No,0,Monthly,4.5,Express,Debit Card
58,50,Male,Montana,No,Coat,Outerwear,69.31,Fall,XL,Brown,No,Yes,2,Weekly,3.36,Express,Cash
59,25,Female,Florida,No,Hoodie,Outerwear,75.88,Summer,S,Brown,No,Yes,2,Weekly,3.28,Standard,Cash
60,53,Male,Ohio,Yes,Belt,Accessories,34.77,Winter,S,Green,No,No,1,Bi-Weekly,3.34,Express,Cash
61,61,Female,Montana,No,Coat,Outerwear,58.85,Spring,M,Pink,No,No,0,Weekly,4.3,Standard,Cash
62,46,Male,Georgia,No,Shirt,Clothing,27.01,Winter,L,Green,Yes,Yes,1,Weekly,4.03,Express,Cash
63,62,Male,California,Yes,Sweater,Clothing,22.78,Fall,S,Blue,Yes,No,0,Annually,3.11,Express,Cash
64,56,Female,Illinois,No,Blouse,Clothing,57.05,Spring,M,Red,No,Yes,2,Quarterly,4.03,Standard,Cash
65,26,Female,Washington,No,Shirt,Clothing,58.9,Fall,L,White,No,No,1,Bi-Weekly,4.64,Standard,Venmo
66,66,Male,Arizona,No,Belt,Accessories,58.11,Fall,S,Black,No,No,0,Weekly,4.06,Express,PayPal
67,58,Male,New York,No,Sunglasses,Accessories,75.97,Fall,XL,Gray,No,No,1,Bi-Weekly,3.82,Express,PayPal
68,59,Male,California,No,Shoes,Footwear,34.12,Fall,XL,Purple,No,Yes,0,Weekly,4.46,Express,Credit Card
69,33,Male,California,Yes,Sandals,Footwear,55.24,Fall,S,White,No,No,1,Quarterly,4.25,Standard,Credit Card
70,61,Male,Florida,No,Pants,Clothing,43.48,Summer,S,Blue,No,No,2,Bi-Weekly,3.65,Express,Venmo
71,70,Male,Washington,No,Jewelry,Accessories,20.93,Spring,L,Yellow,No,No,2,Monthly,3.15,Express,Debit Card
72,21,Male,Washington,Yes,Scarf,Accessories,82.94,Spring,M,Pink,Yes,No,0,Annually,4.56,Standard,Credit Card
73,66,Female,Arizona,No,Sweater,Clothing,88.01,Fall,M,Gray,No,Yes,2,Quarterly,3.46,Express,Debit Card
74,20,Male,New York,No,Dress,Clothing,65.32,Summer,XL,Yellow,No,No,0,Bi-Weekly,3.92,Express,Venmo
75,45,Male,Texas,No,Jewelry,Accessories,59.27,Winter,XL,White,No,No,0,Weekly,4.34,Express,Cash
76,65,Female,Illinois,Yes,Jacket,Outerwear,69.65,Spring,L,Purple,No,No,0,Bi-Weekly,4.18,Standard,Cash
77,48,Male,Montana,No,Belt,Accessories,60.17,Winter,L,White,No,No,1,Monthly,4.39,Standard,Cash
78,58,Female,Illinois,No,Shoes,Footwear,35.89,Winter,XL,White,No,Yes,2,Quarterly,3.55,Standard,Debit Card
79,43,Male,Florida,No,Skirt,Clothing,47.87,Fall,S,Black,No,No,2,Monthly,4.71,Express,Debit Card
80,46,Male,California,No,Sunglasses,Accessories,85.57,Winter,M,Blue,No,Yes,0,Quarterly,3.8,Express,Venmo
81,36,Female,California,Yes,Skirt,Clothing,58.69,Winter,S,Pink,No,No,0,Quarterly,3.87,Express,PayPal
82,46,Male,New York,No,Jewelry,Accessories,92.13,Summer,L,Red,No,No,2,Weekly,2.51,Express,PayPal
83,65,Male,Arizona,No,Skirt,Clothing,33.07,Spring,S,Gray,No,No,2,Bi-Weekly,4.33,Express,Cash
84,55,Male,Georgia,No,Sandals,Footwear,78.4,Fall,XL,Yellow,No,No,10,Bi-Weekly,4.17,Express,Debit Card
85,50,Male,Illinois,No,Shirt,Clothing,54.22,Summer,L,Purple,No,No,3,Bi-Weekly,3.71,Standard,PayPal
86,20,Male,Georgia,No,Belt,Accessories,93.63,Winter,XL,White,No,No,8,Monthly,4.44,Express,Cash
87,39,Female,California,Yes,Coat,Outerwear,67.63,Fall,XL,Pink,No,Yes,9,Quarterly,4.84,Express,Venmo
88,49,Male,Arizona,No,Sneakers,Footwear,94.15,Fall,XL,Purple,No,Yes,6,Weekly,3.97,Express,Credit Card
89,41,Female,Arizona,No,Hoodie,Outerwear,35.08,Fall,XL,Pink,No,No,7,Quarterly,3.02,Express,Debit Card
90,59,Male,California,No,Sneakers,Footwear,41.84,Fall,S,Blue,No,No,5,Bi-Weekly,3.07,Standard,Debit Card
91,55,Male,Arizona,No,Jewelry,Accessories,70.47,Winter,M,Brown,Yes,No,3,Weekly,3.56,Express,Cash
92,18,Male,Washington,No,Sneakers,Footwear,28.48,Winter,M,Pink,No,Yes,6,Monthly,3.61,Express,Credit Card
93,45,Male,Montana,No,Scarf,Accessories,76.54,Winter,XL,Yellow,Yes,Yes,5,Bi-Weekly,4.36,Express,Credit Card
94,43,Female,New York,Yes,Sweater,Clothing,56.98,Fall,M,Purple,No,No,3,Monthly,3.23,Standard,Debit Card
95,56,Male,Florida,Yes,Pants,Clothing,17.58,Summer,S,Red,No,Yes,10,Bi-Weekly,5.0,Standard,Venmo
96,64,Female,Washington,Yes,Pants,Clothing,77.0,Summer,S,Purple,No,No,9,Quarterly,4.0,Standard,Credit Card
97,18,Male,Washington,No,Sandals,Footwear,37.81,Summer,M,Yellow,No,No,9,Weekly,4.57,Express,Credit Card
98,58,Female,Texas,No,Belt,Accessories,84.06,Summer,S,Pink,No,No,6,Weekly,4.1,Standard,Credit Card
99,29,Male,Montana,Yes,Blouse,Clothing,19.21,Spring,L,Yellow,Yes,No,9,Bi-Weekly,4.29,Express,Credit Card
100,25,Male,New York,No,Shirt,Clothing,50.52,Spring,L,Red,No,No,4,Bi-Weekly,3.74,Express,Cash
101,60,Male,Texas,Yes,Belt,Accessories,74.78,Spring,S,Yellow,Yes,Yes,10,Quarterly,3.89,Express,PayPal
102,64,Female,California,No,Sandals,Footwear,43.02,Winter,M,Pink,No,Yes,5,Quarterly,3.83,Standard,Venmo
103,66,Male,Arizona,No,Belt,Accessories,87.55,Fall,L,Brown,No,No,7,Quarterly,3.71,Standard,Credit Card
104,59,Female,California,No,Dress,Clothing,34.72,Winter,XL,Brown,No,Yes,10,Quarterly,3.4,Standard,Debit Card
105,52,Male,New York,No,Jewelry,Accessories,108.96,Winter,L,Purple,No,No,4,Weekly,2.8,Express,Debit Card
106,38,Female,Ohio,No,Coat,Clothing,22.24,Summer,L,Red,No,No,5,Annually,2.76,Standard,Venmo
107,26,Male,Montana,No,Hoodie,Outerwear,46.61,Winter,S,Green,No,No,3,Monthly,3.14,Express,Venmo
108,23,Female,Ohio,No,Skirt,Clothing,29.61,Winter,M,Purple,No,Yes,9,Weekly,3.09,Standard,Debit Card
109,33,Male,Texas,Yes,Jewelry,Accessories,15.0,Spring,XL,Gray,No,Yes,3,Annually,3.5,Standard,Debit Card
110,50,Male,Florida,No,Boots,Footwear,34.84,Summer,S,White,No,No,10,Weekly,3.76,Express,Cash
111,40,Male,Florida,Yes,Shoes,Footwear,66.91,Fall,S,Purple,No,No,6,Bi-Weekly,4.45,Express,Cash
112,31,Female,California,No,Boots,Footwear,35.84,Summer,XL,Purple,No,Yes,9,Weekly,3.57,Express,Credit Card
113,63,Male,New York,Yes,Skirt,Clothing,15.0,Spring,M,Red,Yes,No,6,Quarterly,3.78,Express,PayPal
114,37,Male,California,No,Skirt,Clothing,65.27,Fall,L,Blue,No,Yes,7,Weekly,3.35,Standard,Cash
115,32,Male,Texas,Yes,Sneakers,Footwear,48.33,Winter,XL,Black,No,No,9,Weekly,3.54,Standard,PayPal
116,53,Female,Texas,No,Sweater,Clothing,38.72,Winter,M,Brown,No,No,8,Bi-Weekly,3.65,Standard,Venmo
117,38,Male,New York,No,Belt,Accessories,61.78,Spring,S,Green,No,No,9,Quarterly,3.19,Express,Credit Card
118,38,Male,Florida,Yes,Coat,Clothing,59.05,Summer,XL,Blue,No,No,10,Bi-Weekly,3.28,Express,Venmo
119,34,Female,Arizona,No,Scarf,Accessories,55.64,Fall,L,White,No,No,3,Weekly,3.56,Express,PayPal
120,36,Male,Arizona,Yes,Pants,Clothing,59.0,Fall,S,Blue,Yes,Yes,10,Annually,3.88,Express,Debit Card
121,28,Male,Illinois,No,Sweater,Clothing,38.07,Winter,M,Yellow,Yes,No,9,Weekly,2.86,Express,Credit Card
122,67,Male,Georgia,No,Hoodie,Outerwear,42.37,Summer,L,White,No,Yes,3,Monthly,3.31,Express,Venmo
123,33,Female,Ohio,Yes,Coat,Clothing,52.3,Winter,L,Purple,No,No,4,Quarterly,3.33,Standard,Cash
124,52,Male,California,No,Jacket,Outerwear,74.52,Summer,S,Gray,No,No,10,Quarterly,3.57,Standard,Cash
125,46,Male,California,Yes,Sweater,Clothing,66.05,Fall,L,Gray,No,No,4,Annually,3.41,Express,Cash
126,40,Female,Arizona,No,T-shirt,Clothing,66.17,Winter,XL,Black,No,No,8,Quarterly,4.2,Standard,Debit Card
127,27,Female,Georgia,No,Sandals,Footwear,68.26,Summer,M,Purple,No,No,10,Weekly,4.34,Express,Credit Card
128,68,Male,Florida,No,Boots,Footwear,64.23,Winter,M,Blue,Yes,No,9,Annually,2.07,Standard,PayPal
129,37,Female,New York,No,Jewelry,Accessories,60.18,Fall,XL,Red,Yes,No,9,Bi-Weekly,4.29,Express,PayPal
130,63,Female,New York,No,Sandals,Footwear,80.95,Winter,L,Red,Yes,No,8,Weekly,4.17,Standard,PayPal
131,64,Male,Florida,No,Scarf,Accessories,63.4,Fall,L,Yellow,No,No,3,Weekly,4.04,Express,Venmo
132,27,Male,Texas,No,Jewelry,Accessories,49.04,Summer,L,Purple,No,No,5,Annually,4.14,Express,Venmo
133,53,Male,Montana,No,Pants,Clothing,63.71,Winter,M,Pink,Yes,No,4,Quarterly,3.56,Express,PayPal
134,38,Male,Texas,No,Boots,Footwear,57.6,Summer,XL,Purple,No,No,10,Bi-Weekly,3.65,Express,PayPal
135,60,Male,California,No,Scarf,Accessories,15.0,Fall,XL,Gray,No,No,4,Bi-Weekly,4.19,Express,Credit Card
136,35,Male,Texas,No,Pants,Clothing,42.85,Winter,XL,Pink,Yes,Yes,5,Annually,4.06,Standard,Debit Card
137,50,Female,Montana,No,Sunglasses,Accessories,53.69,Summer,M,White,No,Yes,10,Bi-Weekly,3.83,Express,Credit Card
138,33,Male,Arizona,Yes,Shoes,Footwear,71.98,Fall,M,Blue,Yes,No,5,Annually,4.78,Standard,PayPal
139,32,Male,Washington,No,Shoes,Footwear,52.39,Spring,L,White,Yes,No,10,Quarterly,4.01,Express,PayPal
140,69,Male,Arizona,Yes,Sneakers,Footwear,43.33,Winter,XL,Pink,No,No,3,Weekly,3.65,Express,Debit Card
141,23,Female,California,Yes,Scarf,Accessories,76.28,Summer,S,Black,Yes,No,4,Quarterly,3.54,Express,Venmo
142,63,Male,Montana,No,Skirt,Clothing,63.43,Fall,S,Green,No,No,5,Quarterly,3.87,Express,Cash
143,22,Female,New York,No,Belt,Accessories,95.46,Winter,S,Pink,No,No,5,Monthly,3.86,Express,Credit Card
144,61,Female,Washington,Yes,Coat,Clothing,57.78,Winter,XL,Purple,Yes,Yes,3,Quarterly,2.63,Express,Cash
145,28,Female,Texas,Yes,Shirt,Clothing,29.23,Spring,XL,White,No,No,9,Quarterly,4.37,Express,Credit Card
146,25,Female,Illinois,No,Sandals,Footwear,55.11,Spring,L,Pink,No,No,9,Quarterly,3.45,Express,Credit Card
147,32,Male,California,No,Sandals,Footwear,65.05,Summer,M,Red,No,Yes,5,Monthly,4.08,Express,Cash
148,57,Female,Texas,No,Blouse,Clothing,55.16,Fall,M,Blue,No,Yes,8,Weekly,3.96,Express,Credit Card
149,69,Male,Georgia,Yes,Coat,Clothing,66.95,Winter,XL,Pink,No,Yes,10,Weekly,4.67,Express,Credit Card
150,45,Female,Ohio,No,Scarf,Accessories,78.61,Summer,S,Blue,No,No,4,Annually,4.61,Express,Venmo
151,20,Male,Texas,No,Pants,Clothing,63.23,Winter,XL,Black,Yes,No,3,Quarterly,4.6,Express,Credit Card
152,46,Female,Texas,Yes,Sweater,Clothing,58.05,Fall,XL,Red,No,No,10,Quarterly,4.07,Express,Debit Card
153,18,Male,Illinois,Yes,Blouse,Clothing,77.74,Winter,L,Purple,No,No,9,Weekly,3.64,Express,Cash
154,66,Female,Montana,Yes,Sweater,Clothing,53.42,Summer,L,Yellow,No,No,7,Annually,3.37,Express,Credit Card
155,56,Female,Montana,No,Belt,Accessories,58.32,Fall,XL,Gray,No,No,3,Quarterly,3.45,Express,Credit Card
156,45,Female,California,No,Sneakers,Footwear,62.5,Spring,L,Red,No,Yes,7,Quarterly,3.44,Express,Credit Card
157,68,Male,California,No,Sunglasses,Accessories,62.97,Spring,M,White,Yes,Yes,3,Quarterly,3.97,Standard,Cash
158,55,Male,Ohio,No,Sandals,Footwear,65.94,Summer,S,Green,No,Yes,10,Weekly,4.7,Express,Credit Card
159,60,Male,Washington,No,Jewelry,Accessories,35.73,Winter,M,Blue,No,No,6,Weekly,4.21,Express,Cash
160,53,Male,Ohio,Yes,Shirt,Clothing,87.54,Winter,S,Black,No,No,3,Bi-Weekly,5.0,Express,PayPal
161,48,Female,Arizona,No,Belt,Accessories,42.29,Winter,XL,Yellow,No,No,8,Annually,3.85,Express,Cash
162,21,Male,New York,No,Pants,Clothing,24.25,Spring,M,Green,No,No,5,Quarterly,3.02,Express,Credit Card
163,64,Male,New York,No,Jacket,Outerwear,110.0,Fall,L,Purple,No,No,6,Bi-Weekly,2.85,Standard,PayPal
164,56,Female,California,No,Belt,Accessories,65.47,Fall,S,Black,No,No,5,Weekly,3.16,Express,Cash
165,25,Male,New York,No,Jewelry,Accessories,110.0,Summer,S,Yellow,Yes,No,7,Quarterly,3.0,Standard,PayPal
166,29,Male,Florida,No,Shirt,Clothing,59.98,Fall,L,Purple,No,No,3,Monthly,4.08,Express,Credit Card
167,68,Male,Florida,No,Blouse,Clothing,15.61,Fall,XL,Pink,Yes,Yes,8,Weekly,2.89,Express,Cash
168,22,Male,Illinois,No,T-shirt,Clothing,72.72,Fall,L,Yellow,No,No,9,Annually,3.85,Express,Debit Card
169,47,Male,Ohio,Yes,T-shirt,Clothing,78.66,Winter,S,Green,No,Yes,8,Annually,4.01,Express,Credit Card
170,52,Male,Florida,No,Boots,Footwear,59.07,Summer,L,Blue,No,No,9,Annually,3.31,Express,Debit Card
171,55,Female,Illinois,Yes,Belt,Accessories,59.62,Summer,M,Gray,No,Yes,4,Monthly,3.34,Express,Cash
172,70,Male,Texas,No,Belt,Accessories,30.05,Spring,S,Yellow,Yes,No,3,Bi-Weekly,3.88,Express,PayPal
173,31,Male,Florida,Yes,Shirt,Clothing,44.26,Fall,XL,White,No,Yes,6,Bi-Weekly,3.23,Standard,Debit Card
174,29,Male,Montana,Yes,Sandals,Footwear,73.74,Summer,XL,Pink,No,No,9,Annually,4.22,Express,Credit Card
175,26,Female,Texas,No,T-shirt,Clothing,80.15,Winter,XL,Blue,Yes,No,4,Bi-Weekly,3.42,Express,PayPal
176,27,Male,Arizona,No,Dress,Clothing,70.6,Spring,XL,Pink,No,Yes,9,Monthly,3.57,Express,Venmo
177,65,Male,Texas,No,Jewelry,Accessories,58.14,Winter,L,Pink,Yes,No,6,Quarterly,4.31,Express,Credit Card
178,39,Male,Arizona,No,Sneakers,Footwear,79.02,Winter,M,Blue,No,No,6,Annually,4.55,Express,Credit Card
179,52,Male,New York,No,Hoodie,Outerwear,69.89,Spring,S,Yellow,No,Yes,3,Quarterly,4.04,Express,Cash
180,55,Male,Florida,Yes,Coat,Clothing,58.05,Summer,M,Black,No,No,6,Weekly,3.76,Express,Debit Card
181,70,Male,Ohio,Yes,Coat,Outerwear,29.11,Spring,S,Black,No,Yes,5,Weekly,3.07,Express,Cash
182,24,Female,Ohio,No,Sandals,Footwear,70.0,Winter,S,Yellow,Yes,No,9,Annually,4.72,Standard,Debit Card
183,32,Female,Ohio,No,Pants,Clothing,76.58,Winter,XL,White,No,No,9,Weekly,4.64,Standard,Debit Card
184,43,Female,Arizona,No,Sunglasses,Accessories,36.86,Fall,L,Black,No,No,4,Quarterly,3.28,Express,Credit Card
185,66,Male,Montana,No,Shoes,Footwear,28.18,Fall,M,Purple,No,Yes,7,Bi-Weekly,3.74,Express,Venmo
186,47,Male,Montana,No,T-shirt,Clothing,78.67,Spring,M,Yellow,Yes,No,7,Quarterly,3.73,Express,Cash
187,29,Male,Illinois,Yes,Jacket,Outerwear,100.09,Summer,XL,Blue,No,No,7,Weekly,3.07,Express,Venmo
188,25,Male,Montana,No,Coat,Outerwear,95.69,Spring,L,Red,No,No,4,Quarterly,3.65,Standard,Debit Card
189,45,Male,California,No,Boots,Footwear,34.59,Winter,L,Yellow,No,Yes,9,Monthly,4.05,Express,Venmo
190,44,Male,Texas,No,Jewelry,Accessories,110.0,Spring,M,Blue,Yes,No,5,Bi-Weekly,3.02,Express,Debit Card
191,37,Female,Washington,No,Jacket,Outerwear,82.12,Winter,L,Purple,No,No,5,Annually,3.61,Standard,Credit Card
192,62,Male,New York,No,Scarf,Accessories,93.27,Summer,L,Blue,Yes,No,7,Bi-Weekly,3.49,Express,Venmo
193,59,Male,Texas,No,Sneakers,Footwear,31.23,Summer,XL,Pink,No,No,9,Monthly,3.86,Express,Cash
194,57,Male,Florida,Yes,Belt,Accessories,77.59,Spring,S,Brown,Yes,No,7,Annually,4.12,Standard,Venmo
195,23,Male,Texas,Yes,Sandals,Footwear,37.86,Winter,XL,Yellow,No,No,3,Weekly,3.21,Express,Debit Card
196,54,Male,Illinois,No,Skirt,Clothing,50.31,Winter,XL,Yellow,No,No,10,Weekly,3.98,Express,Debit Card
197,51,Male,Georgia,No,Sneakers,Footwear,70.97,Winter,XL,Pink,Yes,No,8,Weekly,3.8,Express,Credit Card
198,58,Male,Illinois,No,Jewelry,Accessories,52.5,Fall,M,Brown,No,No,10,Bi-Weekly,3.56,Express,Venmo
199,23,Male,Montana,No,Sunglasses,Accessories,74.35,Summer,L,Red,No,No,6,Bi-Weekly,4.32,Standard,Cash
200,31,Male,Texas,No,Boots,Footwear,58.39,Spring,S,Gray,Yes,No,3,Monthly,3.98,Express,Venmo
201,52,Female,Florida,No,Coat,Outerwear,68.01,Summer,XL,Yellow,No,No,6,Monthly,3.6,Express,Cash
202,33,Male,Illinois,No,Sweater,Clothing,35.06,Spring,XL,Green,Yes,No,6,Bi-Weekly,3.53,Express,Cash
203,19,Female,Ohio,No,Sneakers,Footwear,62.89,Summer,L,Blue,No,No,9,Quarterly,3.73,Express,Debit Card
204,25,Female,New York,No,Jacket,Outerwear,33.03,Spring,S,White,No,No,8,Monthly,3.79,Express,Cash
205,42,Female,Washington,No,Shirt,Clothing,75.62,Fall,L,Yellow,Yes,No,10,Quarterly,4.81,Express,PayPal
206,47,Male,Georgia,No,Sunglasses,Accessories,41.5,Winter,M,Pink,No,Yes,4,Bi-Weekly,4.48,Express,Credit Card
207,27,Male,Montana,Yes,Jewelry,Accessories,30.71,Winter,L,Black,No,No,9,Bi-Weekly,4.47,Express,Venmo
208,49,Female,California,Yes,Dress,Clothing,59.1,Fall,S,Pink,No,No,10,Annually,4.8,Express,Cash
209,45,Female,Arizona,No,Scarf,Accessories,33.75,Spring,L,Red,Yes,Yes,5,Weekly,4.09,Standard,Cash
210,28,Male,California,No,Scarf,Accessories,73.24,Fall,M,White,No,No,4,Monthly,4.49,Express,Cash
211,44,Female,Illinois,No,Blouse,Clothing,55.9,Fall,S,Black,No,No,10,Monthly,3.44,Express,Venmo
212,55,Female,California,No,Hoodie,Outerwear,99.45,Summer,XL,Purple,Yes,No,10,Annually,3.37,Express,PayPal
213,20,Male,New York,No,Jewelry,Accessories,34.47,Winter,S,White,No,No,8,Quarterly,4.16,Express,PayPal
214,29,Male,Washington,No,Sweater,Clothing,110.0,Spring,S,Brown,Yes,No,5,Annually,4.37,Express,Debit Card
215,56,Male,Texas,No,Shirt,Clothing,72.36,Spring,M,Green,No,No,3,Monthly,3.61,Express,Credit Card
216,40,Male,Montana,No,Jewelry,Accessories,38.86,Spring,M,Green,No,No,10,Weekly,4.12,Express,Cash
217,31,Male,Washington,No,Sneakers,Footwear,81.98,Summer,L,Brown,Yes,No,4,Quarterly,4.67,Express,Cash
218,50,Female,Montana,Yes,Coat,Clothing,97.02,Summer,L,Yellow,No,Yes,3,Annually,3.94,Express,Venmo
219,56,Female,Texas,Yes,Jewelry,Accessories,39.25,Spring,L,Green,No,No,4,Monthly,3.77,Standard,Venmo
