customer_id,age,gender,location,subscription_status,item_purchased,category,purchase_amount_usd,season,size,color,discount_applied,previous_purchases,frequency_of_purchases,review_rating,shipping_type,payment_method,age_group,purchase_frequency_days,customer_segment
70,61,Male,Florida,No,Pants,Clothing,43.48,Summer,S,Blue,No,2,Bi-Weekly,3.65,Express,Venmo,Senior,14,New
71,70,Male,Washington,No,Jewelry,Accessories,20.93,Spring,L,Yellow,No,2,Monthly,3.15,Express,Debit Card,Senior,30,New
72,21,Male,Washington,Yes,Scarf,Accessories,82.94,Spring,M,Pink,Yes,0,Annually,4.56,Standard,Credit Card,Young Adult,365,New
73,66,Female,Arizona,No,Sweater,Clothing,88.01,Fall,M,Gray,No,2,Quarterly,3.46,Express,Debit Card,Senior,90,New
74,20,Male,New York,No,Dress,Clothing,65.32,Summer,XL,Yellow,No,0,Bi-Weekly,3.92,Express,Venmo,Young Adult,14,New
75,45,Male,Texas,No,Jewelry,Accessories,59.27,Winter,XL,White,No,0,Weekly,4.34,Express,Cash,Middle-aged,7,New
76,65,Female,Illinois,Yes,Jacket,Outerwear,69.65,Spring,L,Purple,No,0,Bi-Weekly,4.18,Standard,Cash,Senior,14,New
77,48,Male,Montana,No,Belt,Accessories,60.17,Winter,L,White,No,1,Monthly,4.39,Standard,Cash,Middle-aged,30,New
78,58,Female,Illinois,No,Shoes,Footwear,35.89,Winter,XL,White,No,2,Quarterly,3.55,Standard,Debit Card,Middle-aged,90,New
79,43,Male,Florida,No,Skirt,Clothing,47.87,Fall,S,Black,No,2,Monthly,4.71,Express,Debit Card,Middle-aged,30,New
80,46,Male,California,No,Sunglasses,Accessories,85.57,Winter,M,Blue,No,0,Quarterly,3.8,Express,Venmo,Middle-aged,90,New
81,36,Female,California,Yes,Skirt,Clothing,58.69,Winter,S,Pink,No,0,Quarterly,3.87,Express,PayPal,Adult,90,New
82,46,Male,New York,No,Jewelry,Accessories,92.13,Summer,L,Red,No,2,Weekly,2.51,Express,PayPal,Middle-aged,7,New
83,65,Male,Arizona,No,Skirt,Clothing,33.07,Spring,S,Gray,No,2,Bi-Weekly,4.33,Express,Cash,Senior,14,New
84,55,Male,Georgia,No,Sandals,Footwear,78.4,Fall,XL,Yellow,No,10,Bi-Weekly,4.17,Express,Debit Card,Middle-aged,14,Returning
85,50,Male,Illinois,No,Shirt,Clothing,54.22,Summer,L,Purple,No,3,Bi-Weekly,3.71,Standard,PayPal,Middle-aged,14,Returning
86,20,Male,Georgia,No,Belt,Accessories,93.63,Winter,XL,White,No,8,Monthly,4.44,Express,Cash,Young Adult,30,Returning
87,39,Female,California,Yes,Coat,Outerwear,67.63,Fall,XL,Pink,No,9,Quarterly,4.84,Express,Venmo,Adult,90,Returning
88,49,Male,Arizona,No,Sneakers,Footwear,94.15,Fall,XL,Purple,No,6,Weekly,3.97,Express,Credit Card,Middle-aged,7,Returning
89,41,Female,Arizona,No,Hoodie,Outerwear,35.08,Fall,XL,Pink,No,7,Quarterly,3.02,Express,Debit Card,Middle-aged,90,Returning
90,59,Male,California,No,Sneakers,Footwear,41.84,Fall,S,Blue,No,5,Bi-Weekly,3.07,Standard,Debit Card,Middle-aged,14,Returning
91,55,Male,Arizona,No,Jewelry,Accessories,70.47,Winter,M,Brown,Yes,3,Weekly,3.56,Express,Cash,Middle-aged,7,Returning
92,18,Male,Washington,No,Sneakers,Footwear,28.48,Winter,M,Pink,No,6,Monthly,3.61,Express,Credit Card,Young Adult,30,Returning
93,45,Male,Montana,No,Scarf,Accessories,76.54,Winter,XL,Yellow,Yes,5,Bi-Weekly,4.36,Express,Credit Card,Middle-aged,14,Returning
94,43,Female,New York,Yes,Sweater,Clothing,56.98,Fall,M,Purple,No,3,Monthly,3.23,Standard,Debit Card,Middle-aged,30,Returning
95,56,Male,Florida,Yes,Pants,Clothing,17.58,Summer,S,Red,No,10,Bi-Weekly,5.0,Standard,Venmo,Middle-aged,14,Returning
96,64,Female,Washington,Yes,Pants,Clothing,77.0,Summer,S,Purple,No,9,Quarterly,4.0,Standard,Credit Card,Senior,90,Returning
97,18,Male,Washington,No,Sandals,Footwear,37.81,Summer,M,Yellow,No,9,Weekly,4.57,Express,Credit Card,Young Adult,7,Returning
98,58,Female,Texas,No,Belt,Accessories,84.06,Summer,S,Pink,No,6,Weekly,4.1,Standard,Credit Card,Middle-aged,7,Returning
99,29,Male,Montana,Yes,Blouse,Clothing,19.21,Spring,L,Yellow,Yes,9,Bi-Weekly,4.29,Express,Credit Card,Adult,14,Returning
100,25,Male,New York,No,Shirt,Clothing,50.52,Spring,L,Red,No,4,Bi-Weekly,3.74,Express,Cash,Adult,14,Returning
101,60,Male,Texas,Yes,Belt,Accessories,74.78,Spring,S,Yellow,Yes,10,Quarterly,3.89,Express,PayPal,Senior,90,Returning
102,64,Female,California,No,Sandals,Footwear,43.02,Winter,M,Pink,No,5,Quarterly,3.83,Standard,Venmo,Senior,90,Returning
103,66,Male,Arizona,No,Belt,Accessories,87.55,Fall,L,Brown,No,7,Quarterly,3.71,Standard,Credit Card,Senior,90,Returning
104,59,Female,California,No,Dress,Clothing,34.72,Winter,XL,Brown,No,10,Quarterly,3.4,Standard,Debit Card,Middle-aged,90,Returning
105,52,Male,New York,No,Jewelry,Accessories,108.96,Winter,L,Purple,No,4,Weekly,2.8,Express,Debit Card,Middle-aged,7,Returning
106,38,Female,Ohio,No,Coat,Clothing,22.24,Summer,L,Red,No,5,Annually,2.76,Standard,Venmo,Adult,365,Returning
107,26,Male,Montana,No,Hoodie,Outerwear,46.61,Winter,S,Green,No,3,Monthly,3.14,Express,Venmo,Adult,30,Returning
108,23,Female,Ohio,No,Skirt,Clothing,29.61,Winter,M,Purple,No,9,Weekly,3.09,Standard,Debit Card,Young Adult,7,Returning
109,33,Male,Texas,Yes,Jewelry,Accessories,15.0,Spring,XL,Gray,No,3,Annually,3.5,Standard,Debit Card,Adult,365,Returning
110,50,Male,Florida,No,Boots,Footwear,34.84,Summer,S,White,No,10,Weekly,3.76,Express,Cash,Middle-aged,7,Returning
111,40,Male,Florida,Yes,Shoes,Footwear,66.91,Fall,S,Purple,No,6,Bi-Weekly,4.45,Express,Cash,Middle-aged,14,Returning
112,31,Female,California,No,Boots,Footwear,35.84,Summer,XL,Purple,No,9,Weekly,3.57,Express,Credit Card,Adult,7,Returning
113,63,Male,New York,Yes,Skirt,Clothing,15.0,Spring,M,Red,Yes,6,Quarterly,3.78,Express,PayPal,Senior,90,Returning
114,37,Male,California,No,Skirt,Clothing,65.27,Fall,L,Blue,No,7,Weekly,3.35,Standard,Cash,Adult,7,Returning
115,32,Male,Texas,Yes,Sneakers,Footwear,48.33,Winter,XL,Black,No,9,Weekly,3.54,Standard,PayPal,Adult,7,Returning
116,53,Female,Texas,No,Sweater,Clothing,38.72,Winter,M,Brown,No,8,Bi-Weekly,3.65,Standard,Venmo,Middle-aged,14,Returning
117,38,Male,New York,No,Belt,Accessories,61.78,Spring,S,Green,No,9,Quarterly,3.19,Express,Credit Card,Adult,90,Returning
118,38,Male,Florida,Yes,Coat,Clothing,59.05,Summer,XL,Blue,No,10,Bi-Weekly,3.28,Express,Venmo,Adult,14,Returning
119,34,Female,Arizona,No,Scarf,Accessories,55.64,Fall,L,White,No,3,Weekly,3.56,Express,PayPal,Adult,7,Returning
120,36,Male,Arizona,Yes,Pants,Clothing,59.0,Fall,S,Blue,Yes,10,Annually,3.88,Express,Debit Card,Adult,365,Returning
121,28,Male,Illinois,No,Sweater,Clothing,38.07,Winter,M,Yellow,Yes,9,Weekly,2.86,Express,Credit Card,Adult,7,Returning
122,67,Male,Georgia,No,Hoodie,Outerwear,42.37,Summer,L,White,No,3,Monthly,3.31,Express,Venmo,Senior,30,Returning
123,33,Female,Ohio,Yes,Coat,Clothing,52.3,Winter,L,Purple,No,4,Quarterly,3.33,Standard,Cash,Adult,90,Returning
124,52,Male,California,No,Jacket,Outerwear,74.52,Summer,S,Gray,No,10,Quarterly,3.57,Standard,Cash,Middle-aged,90,Returning
125,46,Male,California,Yes,Sweater,Clothing,66.05,Fall,L,Gray,No,4,Annually,3.41,Express,Cash,Middle-aged,365,Returning
126,40,Female,Arizona,No,T-shirt,Clothing,66.17,Winter,XL,Black,No,8,Quarterly,4.2,Standard,Debit Card,Middle-aged,90,Returning
127,27,Female,Georgia,No,Sandals,Footwear,68.26,Summer,M,Purple,No,10,Weekly,4.34,Express,Credit Card,Adult,7,Returning
128,68,Male,Florida,No,Boots,Footwear,64.23,Winter,M,Blue,Yes,9,Annually,2.07,Standard,PayPal,Senior,365,Returning
129,37,Female,New York,No,Jewelry,Accessories,60.18,Fall,XL,Red,Yes,9,Bi-Weekly,4.29,Express,PayPal,Adult,14,Returning
130,63,Female,New York,No,Sandals,Footwear,80.95,Winter,L,Red,Yes,8,Weekly,4.17,Standard,PayPal,Senior,7,Returning
131,64,Male,Florida,No,Scarf,Accessories,63.4,Fall,L,Yellow,No,3,Weekly,4.04,Express,Venmo,Senior,7,Returning
132,27,Male,Texas,No,Jewelry,Accessories,49.04,Summer,L,Purple,No,5,Annually,4.14,Express,Venmo,Adult,365,Returning
133,53,Male,Montana,No,Pants,Clothing,63.71,Winter,M,Pink,Yes,4,Quarterly,3.56,Express,PayPal,Middle-aged,90,Returning
134,38,Male,Texas,No,Boots,Footwear,57.6,Summer,XL,Purple,No,10,Bi-Weekly,3.65,Express,PayPal,Adult,14,Returning
135,60,Male,California,No,Scarf,Accessories,15.0,Fall,XL,Gray,No,4,Bi-Weekly,4.19,Express,Credit Card,Senior,14,Returning
136,35,Male,Texas,No,Pants,Clothing,42.85,Winter,XL,Pink,Yes,5,Annually,4.06,Standard,Debit Card,Adult,365,Returning
137,50,Female,Montana,No,Sunglasses,Accessories,53.69,Summer,M,White,No,10,Bi-Weekly,3.83,Express,Credit Card,Middle-aged,14,Returning
138,33,Male,Arizona,Yes,Shoes,Footwear,71.98,Fall,M,Blue,Yes,5,Annually,4.78,Standard,PayPal,Adult,365,Returning
139,32,Male,Washington,No,Shoes,Footwear,52.39,Spring,L,White,Yes,10,Quarterly,4.01,Express,PayPal,Adult,90,Returning
140,69,Male,Arizona,Yes,Sneakers,Footwear,43.33,Winter,XL,Pink,No,3,Weekly,3.65,Express,Debit Card,Senior,7,Returning
141,23,Female,California,Yes,Scarf,Accessories,76.28,Summer,S,Black,Yes,4,Quarterly,3.54,Express,Venmo,Young Adult,90,Returning
142,63,Male,Montana,No,Skirt,Clothing,63.43,Fall,S,Green,No,5,Quarterly,3.87,Express,Cash,Senior,90,Returning
143,22,Female,New York,No,Belt,Accessories,95.46,Winter,S,Pink,No,5,Monthly,3.86,Express,Credit Card,Young Adult,30,Returning
144,61,Female,Washington,Yes,Coat,Clothing,57.78,Winter,XL,Purple,Yes,3,Quarterly,2.63,Express,Cash,Senior,90,Returning
145,28,Female,Texas,Yes,Shirt,Clothing,29.23,Spring,XL,White,No,9,Quarterly,4.37,Express,Credit Card,Adult,90,Returning
146,25,Female,Illinois,No,Sandals,Footwear,55.11,Spring,L,Pink,No,9,Quarterly,3.45,Express,Credit Card,Adult,90,Returning
147,32,Male,California,No,Sandals,Footwear,65.05,Summer,M,Red,No,5,Monthly,4.08,Express,Cash,Adult,30,Returning
148,57,Female,Texas,No,Blouse,Clothing,55.16,Fall,M,Blue,No,8,Weekly,3.96,Express,Credit Card,Middle-aged,7,Returning
149,69,Male,Georgia,Yes,Coat,Clothing,66.95,Winter,XL,Pink,No,10,Weekly,4.67,Express,Credit Card,Senior,7,Returning
150,45,Female,Ohio,No,Scarf,Accessories,78.61,Summer,S,Blue,No,4,Annually,4.61,Express,Venmo,Middle-aged,365,Returning
151,20,Male,Texas,No,Pants,Clothing,63.23,Winter,XL,Black,Yes,3,Quarterly,4.6,Express,Credit Card,Young Adult,90,Returning
152,46,Female,Texas,Yes,Sweater,Clothing,58.05,Fall,XL,Red,No,10,Quarterly,4.07,Express,Debit Card,Middle-aged,90,Returning
153,18,Male,Illinois,Yes,Blouse,Clothing,77.74,Winter,L,Purple,No,9,Weekly,3.64,Express,Cash,Young Adult,7,Returning
154,66,Female,Montana,Yes,Sweater,Clothing,53.42,Summer,L,Yellow,No,7,Annually,3.37,Express,Credit Card,Senior,365,Returning
155,56,Female,Montana,No,Belt,Accessories,58.32,Fall,XL,Gray,No,3,Quarterly,3.45,Express,Credit Card,Middle-aged,90,Returning
156,45,Female,California,No,Sneakers,Footwear,62.5,Spring,L,Red,No,7,Quarterly,3.44,Express,Credit Card,Middle-aged,90,Returning
157,68,Male,California,No,Sunglasses,Accessories,62.97,Spring,M,White,Yes,3,Quarterly,3.97,Standard,Cash,Senior,90,Returning
158,55,Male,Ohio,No,Sandals,Footwear,65.94,Summer,S,Green,No,10,Weekly,4.7,Express,Credit Card,Middle-aged,7,Returning
159,60,Male,Washington,No,Jewelry,Accessories,35.73,Winter,M,Blue,No,6,Weekly,4.21,Express,Cash,Senior,7,Returning
160,53,Male,Ohio,Yes,Shirt,Clothing,87.54,Winter,S,Black,No,3,Bi-Weekly,5.0,Express,PayPal,Middle-aged,14,Returning
161,48,Female,Arizona,No,Belt,Accessories,42.29,Winter,XL,Yellow,No,8,Annually,3.85,Express,Cash,Middle-aged,365,Returning
162,21,Male,New York,No,Pants,Clothing,24.25,Spring,M,Green,No,5,Quarterly,3.02,Express,Credit Card,Young Adult,90,Returning
163,64,Male,New York,No,Jacket,Outerwear,110.0,Fall,L,Purple,No,6,Bi-Weekly,2.85,Standard,PayPal,Senior,14,Returning
164,56,Female,California,No,Belt,Accessories,65.47,Fall,S,Black,No,5,Weekly,3.16,Express,Cash,Middle-aged,7,Returning
165,25,Male,New York,No,Jewelry,Accessories,110.0,Summer,S,Yellow,Yes,7,Quarterly,3.0,Standard,PayPal,Adult,90,Returning
166,29,Male,Florida,No,Shirt,Clothing,59.98,Fall,L,Purple,No,3,Monthly,4.08,Express,Credit Card,Adult,30,Returning
167,68,Male,Florida,No,Blouse,Clothing,15.61,Fall,XL,Pink,Yes,8,Weekly,2.89,Express,Cash,Senior,7,Returning
168,22,Male,Illinois,No,T-shirt,Clothing,72.72,Fall,L,Yellow,No,9,Annually,3.85,Express,Debit Card,Young Adult,365,Returning
169,47,Male,Ohio,Yes,T-shirt,Clothing,78.66,Winter,S,Green,No,8,Annually,4.01,Express,Credit Card,Middle-aged,365,Returning
170,52,Male,Florida,No,Boots,Footwear,59.07,Summer,L,Blue,No,9,Annually,3.31,Express,Debit Card,Middle-aged,365,Returning
171,55,Female,Illinois,Yes,Belt,Accessories,59.62,Summer,M,Gray,No,4,Monthly,3.34,Express,Cash,Middle-aged,30,Returning
172,70,Male,Texas,No,Belt,Accessories,30.05,Spring,S,Yellow,Yes,3,Bi-Weekly,3.88,Express,PayPal,Senior,14,Returning
173,31,Male,Florida,Yes,Shirt,Clothing,44.26,Fall,XL,White,No,6,Bi-Weekly,3.23,Standard,Debit Card,Adult,14,Returning
174,29,Male,Montana,Yes,Sandals,Footwear,73.74,Summer,XL,Pink,No,9,Annually,4.22,Express,Credit Card,Adult,365,Returning
175,26,Female,Texas,No,T-shirt,Clothing,80.15,Winter,XL,Blue,Yes,4,Bi-Weekly,3.42,Express,PayPal,Adult,14,Returning
176,27,Male,Arizona,No,Dress,Clothing,70.6,Spring,XL,Pink,No,9,Monthly,3.57,Express,Venmo,Adult,30,Returning
177,65,Male,Texas,No,Jewelry,Accessories,58.14,Winter,L,Pink,Yes,6,Quarterly,4.31,Express,Credit Card,Senior,90,Returning
178,39,Male,Arizona,No,Sneakers,Footwear,79.02,Winter,M,Blue,No,6,Annually,4.55,Express,Credit Card,Adult,365,Returning
179,52,Male,New York,No,Hoodie,Outerwear,69.89,Spring,S,Yellow,No,3,Quarterly,4.04,Express,Cash,Middle-aged,90,Returning
180,55,Male,Florida,Yes,Coat,Clothing,58.05,Summer,M,Black,No,6,Weekly,3.76,Express,Debit Card,Middle-aged,7,Returning
181,70,Male,Ohio,Yes,Coat,Outerwear,29.11,Spring,S,Black,No,5,Weekly,3.07,Express,Cash,Senior,7,Returning
182,24,Female,Ohio,No,Sandals,Footwear,70.0,Winter,S,Yellow,Yes,9,Annually,4.72,Standard,Debit Card,Young Adult,365,Returning
183,32,Female,Ohio,No,Pants,Clothing,76.58,Winter,XL,White,No,9,Weekly,4.64,Standard,Debit Card,Adult,7,Returning
184,43,Female,Arizona,No,Sunglasses,Accessories,36.86,Fall,L,Black,No,4,Quarterly,3.28,Express,Credit Card,Middle-aged,90,Returning
185,66,Male,Montana,No,Shoes,Footwear,28.18,Fall,M,Purple,No,7,Bi-Weekly,3.74,Express,Venmo,Senior,14,Returning
186,47,Male,Montana,No,T-shirt,Clothing,78.67,Spring,M,Yellow,Yes,7,Quarterly,3.73,Express,Cash,Middle-aged,90,Returning
187,29,Male,Illinois,Yes,Jacket,Outerwear,100.09,Summer,XL,Blue,No,7,Weekly,3.07,Express,Venmo,Adult,7,Returning
188,25,Male,Montana,No,Coat,Outerwear,95.69,Spring,L,Red,No,4,Quarterly,3.65,Standard,Debit Card,Adult,90,Returning
189,45,Male,California,No,Boots,Footwear,34.59,Winter,L,Yellow,No,9,Monthly,4.05,Express,Venmo,Middle-aged,30,Returning
190,44,Male,Texas,No,Jewelry,Accessories,110.0,Spring,M,Blue,Yes,5,Bi-Weekly,3.02,Express,Debit Card,Middle-aged,14,Returning
191,37,Female,Washington,No,Jacket,Outerwear,82.12,Winter,L,Purple,No,5,Annually,3.61,Standard,Credit Card,Adult,365,Returning
192,62,Male,New York,No,Scarf,Accessories,93.27,Summer,L,Blue,Yes,7,Bi-Weekly,3.49,Express,Venmo,Senior,14,Returning
193,59,Male,Texas,No,Sneakers,Footwear,31.23,Summer,XL,Pink,No,9,Monthly,3.86,Express,Cash,Middle-aged,30,Returning
194,57,Male,Florida,Yes,Belt,Accessories,77.59,Spring,S,Brown,Yes,7,Annually,4.12,Standard,Venmo,Middle-aged,365,Returning
